Freq [GHz],"dB(S(1,1)) []","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []"
4.122,-7.001736065,-2.807197557,-13.65708868,-17.10358178
4.132,-7.001984972,-2.808426825,-13.64594925,-17.06311368
4.142,-7.004334185,-2.809186077,-13.63404583,-17.02070049
4.152,-7.008488515,-2.809520289,-13.6214184,-16.97644464
4.162,-7.014761363,-2.809388008,-13.60802748,-16.93035435
4.172,-7.023031989,-2.80881441,-13.59390372,-16.88250219
4.182,-7.033376934,-2.807785007,-13.57903191,-16.83292359
4.192,-7.045720892,-2.806326577,-13.56343968,-16.78169273
4.202,-7.06017883,-2.804417679,-13.54710763,-16.7288433
4.212,-7.076788475,-2.802063781,-13.53006636,-16.67440314
4.222,-7.095371814,-2.79929744,-13.51231936,-16.61847827
4.232,-7.116112821,-2.796114663,-13.49384519,-16.56112606
4.242,-7.139087122,-2.792486307,-13.47468587,-16.50230959
4.252,-7.164189179,-2.788466705,-13.45481997,-16.44218147
